# test:492
در	O	O	O
صبح	O	O	O
بهاری	O	O	O
جمعه	O	B-DAT	B-DAT	*
مسئولین	O	O	O
و	O	O	O
کارکنان	O	O	O
دانشگاه	B-ORG	B-ORG	B-ORG
علوم	I-ORG	I-ORG	I-ORG
پزشکی	I-ORG	I-ORG	I-ORG
به	O	O	O
همراه	O	O	O
خانواده	O	O	O
خود	O	O	O
از	O	O	O
محل	O	O	O
آرامگاه	O	O	O
شهدای	O	O	O
گمنام	O	O	O
شروع	O	O	O
به	O	O	O
کوهنوردی	O	O	O
خواهند	O	O	O
کرد	O	O	O
.	O	O	O

# test:426
یک	O	O	O
هنرمند	O	O	O
نیویورکی	O	O	O
به	O	O	O
نام	O	O	O
رابرت	B-PER	B-PER	B-PER
کتاب‌های	O	O	O
قدیمی	O	O	O
و	O	O	O
نیز	O	O	O
کتاب‌هایی	O	O	O
که	O	O	O
بدون	O	O	O
استفاده	O	O	O
در	O	O	O
انبار	O	O	O
فروشگاه‌ها	O	O	O
بوده	O	O	O
است	O	O	O
را	O	O	O
به	O	O	O
شکل	O	O	O
تفنگ	O	O	O
برش	O	O	O
داده	O	O	O
است	O	O	O
.	O	O	O

# test:965
آثار	O	O	O
23	O	O	O
عکاس	O	O	O
بر	O	O	O
دیوار	O	O	O
نگارخانهٔ	O	B-ORG	B-ORG	*
ایوان	O	I-ORG	I-ORG	*
نقش	O	O	O
می‌زند	O	O	O
.	O	O	O

# test:669
بسیاری	O	O	O
از	O	O	O
فقهای	O	O	O
متقدم	O	O	O
و	O	O	O
معاصر	O	O	O
در	O	O	O
قواعد	O	O	O
پژوهش	O	O	O
و	O	O	O
تتبع	O	O	O
کرده‌اند	O	O	O
.	O	O	O

# test:595
راحیل	B-PER	B-PER	B-PER
چون	O	O	O
دانست	O	O	O
که	O	O	O
نازا	B-PER	O	O	*
ست	O	O	O
،	O	O	O
به	O	O	O
خواهر	O	O	O
خود	O	O	O
حسد	O	O	O
برد	O	O	O
.	O	O	O

# test:1141
پیامبر	B-PER	B-PER	B-PER
(	O	O	O
ص	O	O	O
)	O	O	O
می‌فرماید	O	O	O
:	O	O	O
هر	O	O	O
که	O	O	O
با	O	O	O
حسین	B-PER	B-PER	B-PER
بجنگد	O	O	O
با	O	O	O
من	O	O	O
جنگیده	O	O	O
و	O	O	O
هر	O	O	O
کس	O	O	O
با	O	O	O
او	O	O	O
مسالمت	O	O	O
کند	O	O	O
با	O	O	O
من	O	O	O
مسالمت	O	O	O
کرده	O	O	O
است	O	O	O
.	O	O	O

# test:299
آخوند	B-PER	B-PER	B-PER
خراسانی	I-PER	I-PER	I-PER
عقل	O	O	O
را	O	O	O
در	O	O	O
لباس	O	O	O
اصول	O	O	O
به	O	O	O
حوزه‌ها	O	O	O
راه	O	O	O
داد	O	O	O
.	O	O	O

# test:1229
در	O	O	O
کتاب‌ها	O	O	O
چنین	O	O	O
آمده	O	O	O
است	O	O	O
که	O	O	O
خسرو	B-PER	B-PER	B-PER
انوشیروان	I-PER	I-PER	I-PER
افرادی	O	O	O
که	O	O	O
بنیهٔ	O	O	O
طبیعی	O	O	O
قوی	O	O	O
داشته‌اند	O	O	O
را	O	O	O
در	O	O	O
نواحی	O	O	O
سرحدی	O	O	O
استقرار	O	O	O
می‌داد	O	O	O
تا	O	O	O
حملات	O	O	O
دشمنان	O	O	O
خارجی	O	O	O
را	O	O	O
دفع	O	O	O
کنند	O	O	O
.	O	O	O

# test:1135
یکی	O	O	O
دیگر	O	O	O
از	O	O	O
اعضای	O	O	O
فرقان	O	B-ORG	B-ORG	*
گفت	O	O	O
:	O	O	O
بارها	O	O	O
وقتی	O	O	O
در	O	O	O
مواردی	O	O	O
از	O	O	O
آقای	O	O	O
گودرزی	B-PER	B-PER	B-PER
مسائلی	O	O	O
پرسیده	O	O	O
شد	O	O	O
،	O	O	O
وی	O	O	O
قرآن	O	O	O
را	O	O	O
می‌گشود	O	O	O
و	O	O	O
بدان	O	O	O
استناد	O	O	O
میجست	O	O	O
!	O	O	O

# test:1415
یک	O	O	O
نوع	O	O	O
نگاه	O	O	O
به	O	O	O
موضوع	O	O	O
این	O	O	O
است	O	O	O
که	O	O	O
بگوییم	O	O	O
این	O	O	O
برد	O	O	O
را	O	O	O
در	O	O	O
درجهٔ	O	O	O
اول	O	O	O
مایکل	B-PER	B-PER	B-PER
اوون	I-PER	I-PER	I-PER
یکی	O	O	O
از	O	O	O
مردان	O	O	O
نسل	O	O	O
قدیمی	O	O	O
و	O	O	O
کسی	O	O	O
که	O	O	O
جزیی	O	O	O
از	O	O	O
سیستم	O	O	O
و	O	O	O
نفرات	O	O	O
جدید	O	O	O
نبوده	O	O	O
برای	O	O	O
انگلیس	B-LOC	B-LOC	B-LOC
به	O	O	O
ارمغان	O	O	O
آورده	O	O	O
و	O	O	O
به	O	O	O
واقع	O	O	O
نیز	O	O	O
او	O	O	O
2	O	O	O
گل	O	O	O
از	O	O	O
3	O	O	O
گل	O	O	O
انگلیس	B-LOC	B-LOC	B-LOC
را	O	O	O
زد	O	O	O
و	O	O	O
دیگری	O	O	O
را	O	O	O
هم	O	O	O
برای	O	O	O
ریو	B-PER	B-PER	B-PER
فردیناند	I-PER	I-PER	I-PER
پایه‌گذاری	O	O	O
کرد	O	O	O
اما	O	O	O
این	O	O	O
نفرات	O	O	O
تازه‌وارد	O	O	O
و	O	O	O
جانشینان	O	O	O
افراد	O	O	O
مصدوم	O	O	O
بودند	O	O	O
که	O	O	O
بازی‌گردانی	O	O	O
می‌کردند	O	O	O
و	O	O	O
همه	O	O	O
چیز	O	O	O
را	O	O	O
در	O	O	O
کنترل	O	O	O
خود	O	O	O
داشتند	O	O	O
.	O	O	O

# test:1161
مأمورین	O	O	O
امنیتی	O	O	O
با	O	O	O
همهٔ	O	O	O
وجود	O	O	O
از	O	O	O
دانشمندان	O	O	O
محافظت	O	O	O
خواهند	O	O	O
کرد	O	O	O
.	O	O	O

# test:1174
این	O	O	O
روزها	O	O	O
شاهد	O	O	O
جشن	O	O	O
سی	O	O	O
سالگی	O	O	O
انقلاب	O	O	O
شکوهمند	O	O	O
ایران	B-LOC	B-LOC	B-LOC
اسلامی	O	O	O
بوده‌ایم	O	O	O
و	O	O	O
شاید	O	O	O
نام	O	O	O
گرفتن	O	O	O
امسال	B-DAT	B-DAT	B-DAT
به	O	O	O
نوآوری	O	O	O
و	O	O	O
شکوفایی	O	O	O
،	O	O	O
بر	O	O	O
این	O	O	O
اتفاق	O	O	O
مهم	O	O	O
تاریخی	O	O	O
اشارت	O	O	O
داشته	O	O	O
باشد	O	O	O
.	O	O	O

# test:558
به	O	O	O
گزارش	O	O	O
رسانه‌های	O	O	O
ژاپنی	O	O	O
مقام‌های	O	O	O
ژاپنی	O	O	O
امروز	B-DAT	B-DAT	B-DAT
پنجشنبه	I-DAT	I-DAT	I-DAT
با	O	O	O
مقام‌های	O	O	O
آمریکایی	O	O	O
دربارهٔ	O	O	O
جزئیات	O	O	O
تحریم‌های	O	O	O
نفتی	O	O	O
ایران	B-LOC	B-LOC	B-LOC
گفت	O	O	O
و	O	O	O
گو	O	O	O
می‌کنند	O	O	O
.	O	O	O

# test:199
او	O	O	O
سفارش	O	O	O
کرده	O	O	O
بود	O	O	O
اسبش	O	O	O
را	O	O	O
که	O	O	O
کامل	O	B-PER	B-PER	*
نام	O	O	O
داشت	O	O	O
از	O	O	O
کوفه	B-LOC	B-LOC	B-LOC
برایش	O	O	O
بیاورند	O	O	O
.	O	O	O

# test:1328
شما	O	O	O
به	O	O	O
خودتان	O	O	O
این	O	O	O
اجازه	O	O	O
را	O	O	O
دادید	O	O	O
که	O	O	O
جلوی	O	O	O
این	O	O	O
همه	O	O	O
آدم	O	O	O
شخصیت	O	O	O
من	O	O	O
را	O	O	O
به	O	O	O
راحتی	O	O	O
لگدمال	O	O	O
بکنی	O	O	O
.	O	O	O

# test:1110
بیمهٔ	O	B-ORG	B-ORG	*
ایران	B-LOC	I-ORG	I-ORG	*
نیز	O	O	O
بیش	O	O	O
از	O	O	O
200	O	O	O
هزار	O	O	O
سهم	O	O	O
این	O	O	O
شرکت	O	O	O
را	O	O	O
در	O	O	O
بازار	O	O	O
به	O	O	O
فروش	O	O	O
رسانیده	O	O	O
بود	O	O	O
.	O	O	O

# test:862
من	O	O	O
در	O	O	O
کمیسیون	B-ORG	O	O	*
نفت	I-ORG	O	O	*
معارضه	O	O	O
کردم	O	O	O
.	O	O	O

# test:180
رازی	B-PER	B-PER	B-PER
در	O	O	O
ابتدای	O	O	O
کتاب	O	O	O
طب	O	O	O
روحانی	B-PER	O	O	*
عقل	O	O	O
را	O	O	O
می‌ستاید	O	O	O
و	O	O	O
همهٔ	O	O	O
سودها	O	O	O
و	O	O	O
بهره‌هایی	O	O	O
که	O	O	O
در	O	O	O
این	O	O	O
دنیا	O	O	O
و	O	O	O
عالم	O	O	O
دیگر	O	O	O
از	O	O	O
آن	O	O	O
می‌توان	O	O	O
برخوردار	O	O	O
شد	O	O	O
را	O	O	O
به	O	O	O
عقل	O	O	O
نسبت	O	O	O
می‌دهد	O	O	O
.	O	O	O

# test:557
شخصاً	O	O	O
با	O	O	O
خودروی	O	O	O
غیراداری	O	O	O
در	O	O	O
بعدازظهرها	O	O	O
و	O	O	O
حتی	O	O	O
شبانه	O	O	O
در	O	O	O
شهر	B-LOC	O	O	*
گشت‌زنی	I-LOC	O	O	*
می‌کنم	O	O	O
.	O	O	O

# test:1250
چگونه	O	O	O
می‌توان	O	O	O
از	O	O	O
خشونت	O	O	O
دوری	O	O	O
جست	O	O	O
؟	O	O	O

# test:779
جهان	B-LOC	B-LOC	B-LOC
علیه	O	O	O
اسرائیل	B-LOC	B-LOC	B-LOC
موضع	O	O	O
می‌گیرد	O	O	O
.	O	O	O

# test:1417
امپراطوری	B-ORG	O	O	*
پارس	O	O	O
را	O	O	O
بنیاد	O	O	O
گذاردم	O	O	O
.	O	O	O

# test:1003
همهٔ	O	O	O
ابرازهای	O	O	O
تبلیغاتی	O	O	O
و	O	O	O
سیاسی	O	O	O
آمریکا	B-LOC	B-LOC	B-LOC
و	O	O	O
دیگر	O	O	O
سلطه‌طلبان	O	O	O
،	O	O	O
امروز	O	B-DAT	B-DAT	*
به	O	O	O
کار	O	O	O
افتاده	O	O	O
است	O	O	O
تا	O	O	O
نهضت	O	O	O
بیداری	O	O	O
اسلامی	O	O	O
را	O	O	O
به	O	O	O
تأخیر	O	O	O
اندازند	O	O	O
و	O	O	O
اگر	O	O	O
بتوانند	O	O	O
سرکوب	O	O	O
کنند	O	O	O
.	O	O	O

# test:633
اورانگوتانی	B-PER	O	O	*
در	O	O	O
باغ	B-LOC	O	O	*
وحشی	I-LOC	O	O	*
در	O	O	O
مالزی	B-LOC	B-LOC	B-LOC
که	O	O	O
به	O	O	O
دلیل	O	O	O
سیگاری	O	O	O
بودن	O	O	O
اطرافیانش	O	O	O
در	O	O	O
باغ	B-LOC	O	O	*
وحش	I-LOC	O	O	*
به	O	O	O
سیگار	O	O	O
کشیدن	O	O	O
عادت	O	O	O
کرده	O	O	O
بود	O	O	O
،	O	O	O
ترک	O	O	O
داده	O	O	O
شد	O	O	O
.	O	O	O

# test:358
چنانچه	O	O	O
طرحی	O	O	O
علمی	O	O	O
،	O	O	O
منطقی	O	O	O
و	O	O	O
دارای	O	O	O
مستندات	O	O	O
کارشناسی	O	O	O
باشد	O	O	O
بانک	B-ORG	B-ORG	B-ORG
مرکزی	I-ORG	I-ORG	I-ORG
تنگ‌نظری	O	O	O
نخواهد	O	O	O
کرد	O	O	O
.	O	O	O

# test:14
دست	O	O	O
فاطمه‌ام	B-PER	O	O	*
پینه	O	O	O
بسته	O	O	O
است	O	O	O
.	O	O	O

# test:32
استعمارگران	O	O	O
و	O	O	O
اقتدارگران	O	O	O
شیطانی	O	O	O
برای	O	O	O
استیلا	B-PER	O	O	*
بر	O	O	O
ملت‌ها	O	O	O
پیوسته	O	O	O
از	O	O	O
غفلت	O	O	O
و	O	O	O
عدم	O	O	O
بصیرت	O	O	O
سیاسی	O	O	O
،	O	O	O
تبلیغات	O	O	O
دروغین	O	O	O
و	O	O	O
شیوهٔ	O	O	O
تهدید	O	O	O
و	O	O	O
تطمیع	O	O	O
استفاده	O	O	O
می‌کنند	O	O	O
و	O	O	O
از	O	O	O
آنجا	O	O	O
که	O	O	O
رهبری	O	O	O
و	O	O	O
مشعل‌داران	O	O	O
واقعی	O	O	O
نظام	O	O	O
و	O	O	O
مملکت	O	O	O
در	O	O	O
بیداری	O	O	O
مردم	O	O	O
نقش	O	O	O
به‌سزایی	O	O	O
دارد	O	O	O
،	O	O	O
ابتدا	O	O	O
از	O	O	O
تنقیص	O	O	O
،	O	O	O
تخریب	O	O	O
و	O	O	O
تضعیف	O	O	O
این	O	O	O
ارکان	O	O	O
اجتماعی	O	O	O
شروع	O	O	O
می‌کنند	O	O	O
و	O	O	O
پس	O	O	O
از	O	O	O
ایجاد	O	O	O
فاصله	O	O	O
بین	O	O	O
مردم	O	O	O
و	O	O	O
رهبری	O	O	O
و	O	O	O
یاوران	O	O	O
راستین	O	O	O
او	O	O	O
و	O	O	O
شکستن	O	O	O
این	O	O	O
خط	O	O	O
مقدم	O	O	O
جبهه	O	O	O
به	O	O	O
خطوط	O	O	O
بعدی	O	O	O
پنجه	O	O	O
می‌افکنند	O	O	O
و	O	O	O
به	O	O	O
راحتی	O	O	O
بر	O	O	O
چنین	O	O	O
جامعه‌ای	O	O	O
سلطه	O	O	O
پیدا	O	O	O
می‌کنند	O	O	O
.	O	O	O

# test:49
تیم	B-ORG	B-ORG	B-ORG
کانوپولو	I-ORG	I-ORG	I-ORG
بانوان	O	I-ORG	I-ORG	*
ایران	B-LOC	I-ORG	I-ORG	*
برای	O	O	O
عنوان	O	O	O
هشتمی	O	O	O
پارو	O	O	O
خواهد	O	O	O
زد	O	O	O
.	O	O	O

# test:280
بالأخره	O	O	O
لوگوی	O	O	O
روزنامهٔ	B-ORG	O	O	*
«	I-ORG	O	O	*
تهران	I-ORG	B-ORG	B-ORG	*
امروز	I-ORG	I-ORG	I-ORG
»	I-ORG	O	O	*
با	O	O	O
ارزش‌های	O	O	O
انقلاب	O	O	O
تطبیق	O	O	O
داده	O	O	O
شد	O	O	O
!	O	O	O

# test:68
طبیعت	O	O	O
اوگاندا	O	B-LOC	B-LOC	*
در	O	O	O
سال‌های	O	O	O
اخیر	O	O	O
بار	O	O	O
دیگر	O	O	O
جان	O	O	O
گرفته	O	O	O
است	O	O	O
.	O	O	O

# test:1103
تشکیل	O	O	O
شورای	B-ORG	B-ORG	B-ORG
عالی	I-ORG	I-ORG	I-ORG
فضای	I-ORG	I-ORG	I-ORG
مجازی	I-ORG	I-ORG	I-ORG
نگرانی	O	O	O
استکبار	O	O	O
را	O	O	O
به	O	O	O
دنبال	O	O	O
داشته	O	O	O
است	O	O	O
.	O	O	O

# test:1259
خشم	O	O	O
و	O	O	O
خشونت	O	O	O
وقتی	O	O	O
صورت	O	O	O
سیستماتیک	O	O	O
پیدا	O	O	O
می‌کند	O	O	O
دیگر	O	O	O
هیچ	O	O	O
فرق	O	O	O
ندارد	O	O	O
که	O	O	O
این	O	O	O
در	O	O	O
شکل	O	O	O
دم	O	O	O
و	O	O	O
دستگاه	O	O	O
سخت	O	O	O
قذافی	O	B-PER	B-PER	*
ظاهر	O	O	O
بشود	O	O	O
و	O	O	O
ابتدایی‌ترین	O	O	O
حقوق	O	O	O
مخالفان	O	O	O
را	O	O	O
به	O	O	O
خشم	O	O	O
از	O	O	O
آنها	O	O	O
سلب	O	O	O
بکند	O	O	O
یا	O	O	O
در	O	O	O
شکل	O	O	O
فرهنگ	O	O	O
سیاسی	O	O	O
نفرت	O	O	O
و	O	O	O
خشم	O	O	O
کور	O	O	O
جماعت‌ها	O	O	O
غلیان	O	O	O
بکند	O	O	O
.	O	O	O

# test:821
هر	O	O	O
پژوهشگری	O	O	O
در	O	O	O
حوزهٔ	O	O	O
تخصصی	O	O	O
خودش	O	O	O
می‌تواند	O	O	O
نظریه‌پردازی	O	O	O
بکند	O	O	O
.	O	O	O

# test:504
سازمان	B-ORG	O	O	*
پرداخت‌کنندهٔ	I-ORG	O	O	*
حقوق	I-ORG	O	O	*
می‌تواند	O	O	O
از	O	O	O
بانک	O	O	O
خود	O	O	O
بخواهد	O	O	O
جمع	O	O	O
مبلغ	O	O	O
حقوق	O	O	O
و	O	O	O
دستمزد	O	O	O
را	O	O	O
از	O	O	O
حساب	O	O	O
سازمان	O	O	O
برداشت	O	O	O
و	O	O	O
به	O	O	O
حساب‌های	O	O	O
بانکی	O	O	O
کارکنان	O	O	O
در	O	O	O
بانک‌های	O	O	O
مختلف	O	O	O
حواله	O	O	O
کند	O	O	O
.	O	O	O

# test:935
خدا	B-PER	O	O	*
مختار	B-PER	B-PER	B-PER
را	O	O	O
رحمت	O	O	O
کند	O	O	O
.	O	O	O

# test:853
حضرت	B-PER	O	O	*
امام	I-PER	O	O	*
ره	I-PER	O	O	*
گاهی	O	O	O
نوه‌های	O	O	O
خود	O	O	O
را	O	O	O
سرگرم	O	O	O
کرده	O	O	O
و	O	O	O
از	O	O	O
این	O	O	O
راه	O	O	O
با	O	O	O
آنها	O	O	O
مطایبه	O	O	O
می‌کردند	O	O	O
.	O	O	O

# test:196
در	O	O	O
این	O	O	O
نوشتار	O	O	O
به	O	O	O
اختصار	O	O	O
نخست	O	O	O
از	O	O	O
اسناد	O	O	O
و	O	O	O
پژوهش‌های	O	O	O
تاریخی	O	O	O
و	O	O	O
سپس	O	O	O
از	O	O	O
تاریخ	O	O	O
شفاهی	O	O	O
در	O	O	O
ایران	B-LOC	B-LOC	B-LOC
سخن	O	O	O
خواهد	O	O	O
رفت	O	O	O
.	O	O	O

# test:950
من	O	O	O
در	O	O	O
تعجب	O	O	O
هستم	O	O	O
از	O	O	O
این	O	O	O
امر	O	O	O
که	O	O	O
بنی‌عبد	B-PER	O	O	*
شمس	I-PER	O	O	*
و	O	O	O
بنومغیره	B-PER	O	O	*
در	O	O	O
نبوت	O	O	O
منازعه	O	O	O
کردند	O	O	O
اما	O	O	O
خلافت	O	O	O
را	O	O	O
پذیرفتند	O	O	O
.	O	O	O

# test:502
خانوادهٔ	O	O	O
بوتو	B-PER	B-PER	B-PER
بی‌گمان	O	O	O
برای	O	O	O
نسل‌ها	O	O	O
در	O	O	O
پاکستان	B-LOC	B-LOC	B-LOC
حکمروایی	O	O	O
خواهد	O	O	O
کرد	O	O	O
.	O	O	O

# test:938
استاد	O	O	O
جواد	B-PER	B-PER	B-PER
مجابی	I-PER	I-PER	I-PER
هم	O	O	O
در	O	O	O
آن	O	O	O
بزرگداشت	O	O	O
سخن	O	O	O
خواهد	O	O	O
کرد	O	O	O
.	O	O	O

# test:111
شرکت	B-ORG	O	O	*
LG	I-ORG	B-ORG	B-ORG	*
در	O	O	O
نمایشگاه	O	O	O
CES	O	O	O
ماه	B-DAT	O	O	*
آینده	I-DAT	O	O	*
از	O	O	O
سری	O	O	O
جدید	O	O	O
مانیتورهای	O	O	O
خود	O	O	O
پرده‌برداری	O	O	O
خواهد	O	O	O
کرد	O	O	O
.	O	O	O

# test:1169
پس	O	O	O
از	O	O	O
ترور	O	O	O
رزم‌آرا	B-LOC	B-PER	B-PER	*
،	O	O	O
حسین	B-PER	B-PER	B-PER
علا	I-PER	I-PER	I-PER
در	O	O	O
21	B-DAT	B-DAT	B-DAT
اسفند	I-DAT	I-DAT	I-DAT
1329	I-DAT	I-DAT	I-DAT
به	O	O	O
نخست‌وزیری	O	O	O
رسید	O	O	O
اما	O	O	O
چون	O	O	O
از	O	O	O
اجرای	O	O	O
طرح	O	O	O
ملی	O	O	O
شدن	O	O	O
صنعت	O	O	O
نفت	O	O	O
استنکاف	O	O	O
می‌ورزید	O	O	O
با	O	O	O
مخالفت	O	O	O
مردم	O	O	O
و	O	O	O
مجلس	O	O	O
روبه‌رو	O	O	O
شد	O	O	O
.	O	O	O

# test:1275
امید	B-PER	B-PER	B-PER
کرامتی	I-PER	I-PER	I-PER
برای	O	O	O
"	O	O	O
به	O	O	O
همین	O	O	O
راحتی	O	O	O
"	O	O	O
آهنگسازی	O	O	O
خواهد	O	O	O
کرد	O	O	O
.	O	O	O

# test:22
نمایندهٔ	O	O	O
وزارت	B-ORG	B-ORG	B-ORG
اقتصاد	I-ORG	I-ORG	I-ORG
ایتالیا	I-ORG	I-ORG	I-ORG
نقشهٔ	O	O	O
پروژهٔ	O	O	O
توسعهٔ	O	O	O
میدان	B-LOC	O	O	*
هوایی	I-LOC	O	O	*
بین‌المللی	I-LOC	O	O	*
هرات	I-LOC	B-LOC	B-LOC	*
را	O	O	O
به	O	O	O
حامد	B-PER	B-PER	B-PER
کرزی	I-PER	I-PER	I-PER
پیشکش	O	O	O
کرد	O	O	O
.	O	O	O

# test:1054
ظلم‌های	O	O	O
امروز	O	B-DAT	B-DAT	*
نشأت‌گرفته	O	O	O
از	O	O	O
ظلم	O	O	O
رواشده	O	O	O
به	O	O	O
حضرت	B-PER	B-PER	B-PER
زهرا	I-PER	I-PER	I-PER
(	I-PER	O	O	*
س	O	O	O
)	O	O	O
است	O	O	O
.	O	O	O

# test:1101
در	O	B-DAT	B-DAT	*
سال‌های	B-DAT	I-DAT	I-DAT	*
1387	I-DAT	I-DAT	I-DAT
تا	I-DAT	I-DAT	I-DAT
1389	I-DAT	I-DAT	I-DAT
که	O	O	O
نرخ	O	O	O
رشد	O	O	O
اقتصادی	O	O	O
به	O	O	O
طور	O	O	O
رسمی	O	O	O
منتشر	O	O	O
نشد	O	O	O
،	O	O	O
هزینه‌های	O	O	O
واقعی	O	O	O
خانوارهای	O	O	O
شهری	O	O	O
افت	O	O	O
کرده	O	O	O
بود	O	O	O
.	O	O	O

# test:303
آیا	O	O	O
به	O	O	O
عنوان	O	O	O
یک	O	O	O
شیعه	O	O	O
تا	O	O	O
به	O	O	O
